player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,latitude,longitude,general_position
234229,/player/234229/ross-mccrorie/240002,24.0,2.0,2023-09-22,R. McCrorie,Ross McCrorie,"RB, CB, CDM",70,75,2200000.0,16000.0,25,1998-03-18,187,80,1919.0,Bristol City,14.0,Championship,2.0,SUB,2.0,,2023-07-01,2026.0,42,Scotland,,,,Right,3,2,1,High/High,Normal (185+),No,4300000.0,#Engine,"Slide Tackle, Bruiser, Relentless",78.0,53.0,61.0,68.0,67.0,83.0,55,52,66,68,30,70,50,56,64,66,74,81,67,65,70,57,81,89,80,56,82,65,57,58,47,69.0,66,69,65,10,5,11,10,7,,62+2,62+2,62+2,64,64,64,64,64,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,68+2,69+2,69+2,69+2,68+2,68+2,70+2,70+2,70+2,68+2,14+2,56.490671,-4.202646,DEF
234941,/player/234941/cameron-pring/240002,24.0,2.0,2023-09-22,C. Pring,Cameron Pring,"LB, CB",69,73,1800000.0,14000.0,25,1998-01-22,185,71,1919.0,Bristol City,14.0,Championship,2.0,LB,3.0,,2016-01-29,2026.0,14,England,,,,Left,2,2,1,High/Medium,Normal (185+),No,3600000.0,,Slide Tackle,80.0,47.0,58.0,66.0,64.0,69.0,64,45,55,61,31,67,56,50,56,64,81,79,70,63,66,58,75,76,69,43,59,64,56,53,44,58.0,65,66,67,13,14,12,10,8,,58+2,58+2,58+2,62,60,60,60,62,60+2,60+2,60+2,64+2,60+2,60+2,60+2,64+2,67+2,63+2,63+2,63+2,67+2,67+2,64+2,64+2,64+2,67+2,17+2,51.509865,-0.118092,DEF
263678,/player/263678/taylor-gardner-hickman/240002,24.0,2.0,2023-09-22,T. Gardner-Hickman,Taylor Gardner-Hickman,"CM, CDM, RWB",68,78,2700000.0,10000.0,21,2001-12-30,178,72,1919.0,Bristol City,14.0,Championship,2.0,SUB,22.0,West Bromwich Albion,,2024.0,14,England,,,,Right,3,2,1,High/High,Normal (170-185),No,,,,74.0,60.0,66.0,67.0,65.0,60.0,63,57,52,72,48,69,61,53,69,67,70,78,61,67,68,63,60,71,55,67,59,66,62,63,60,58.0,60,72,65,11,15,13,5,12,,63+2,63+2,63+2,66,66,66,66,66,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,68+2,67+2,67+2,67+2,68+2,67+2,64+2,64+2,64+2,67+2,17+2,51.509865,-0.118092,MID
225072,/player/225072/zak-vyner/240002,24.0,2.0,2023-09-22,Z. Vyner,Zak Vyner,"CB, RB",68,71,1400000.0,12000.0,26,1997-05-14,187,73,1919.0,Bristol City,14.0,Championship,2.0,RCB,26.0,,2014-08-19,2024.0,14,England,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,2800000.0,,Long Throw,69.0,35.0,56.0,61.0,68.0,71.0,55,29,66,65,30,60,40,22,59,62,68,70,64,65,57,45,75,73,73,37,63,69,51,52,36,59.0,67,69,68,9,8,7,10,9,,53+2,53+2,53+2,57,55,55,55,57,57+2,57+2,57+2,59+2,60+2,60+2,60+2,59+2,66+2,66+2,66+2,66+2,66+2,67+2,68+2,68+2,68+2,67+2,15+2,51.509865,-0.118092,DEF
246847,/player/246847/mark-sykes/240002,24.0,2.0,2023-09-22,M. Sykes,Mark Sykes,"RM, RB, RW",68,69,1400000.0,13000.0,25,1997-08-04,182,74,1919.0,Bristol City,14.0,Championship,2.0,SUB,17.0,,2022-07-01,2025.0,25,Republic of Ireland,1355.0,RES,24.0,Right,2,3,1,Medium/Medium,Lean (170-185),No,2800000.0,,,73.0,63.0,63.0,67.0,63.0,68.0,61,65,59,67,46,67,52,48,65,66,72,73,75,66,71,62,70,79,65,64,62,62,64,65,56,62.0,64,63,61,12,11,5,11,12,,65+2,65+2,65+2,66,66,66,66,66,66+2,66+2,66+2,67+2,66+2,66+2,66+2,67+2,66+2,65+2,65+2,65+2,66+2,66+2,63+2,63+2,63+2,66+2,17+2,0.0,0.0,MID
242800,/player/242800/george-tanner/240002,24.0,2.0,2023-09-22,G. Tanner,George Tanner,"RB, RWB",67,75,2200000.0,9000.0,23,1999-11-16,181,71,1919.0,Bristol City,14.0,Championship,2.0,RB,19.0,,2021-08-30,2026.0,14,England,,,,Right,2,2,1,Medium/Medium,Lean (170-185),No,4600000.0,,,72.0,43.0,53.0,63.0,62.0,69.0,60,39,56,59,30,62,42,37,47,62,74,70,74,63,70,52,70,83,64,45,62,62,58,49,41,58.0,64,63,62,10,15,5,7,8,,56+2,56+2,56+2,59,57,57,57,59,57+2,57+2,57+2,61+2,58+2,58+2,58+2,61+2,65+2,61+2,61+2,61+2,65+2,65+2,62+2,62+2,62+2,65+2,16+2,51.509865,-0.118092,DEF
186578,/player/186578/andy-king/240002,24.0,2.0,2023-09-22,A. King,Andrew Philip King,"CM, CDM",67,67,475000.0,12000.0,34,1988-10-29,184,79,1919.0,Bristol City,14.0,Championship,2.0,SUB,10.0,,2021-07-02,2024.0,50,Wales,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,903000.0,,Long Ball Pass,52.0,64.0,66.0,65.0,68.0,60.0,59,61,69,70,67,66,64,59,65,65,55,49,63,69,60,69,66,54,61,66,62,68,69,69,60,69.0,68,68,64,8,6,7,10,6,,65+2,65+2,65+2,64,65,65,65,64,66+1,66+1,66+1,64+2,67,67,67,64+2,63+2,66+1,66+1,66+1,63+2,64+2,66+1,66+1,66+1,64+2,14+2,52.130661,-3.783712,MID
261283,/player/261283/tommy-conway/240002,24.0,2.0,2023-09-22,T. Conway,Tommy Conway,ST,66,80,2100000.0,8000.0,20,2002-08-06,178,68,1919.0,Bristol City,14.0,Championship,2.0,SUB,15.0,,2021-02-27,2025.0,42,Scotland,,,,Right,3,2,1,High/Medium,Lean (170-185),No,5300000.0,,Rapid,84.0,64.0,46.0,65.0,20.0,54.0,42,69,62,52,49,65,37,36,33,65,85,83,66,62,72,65,74,57,56,54,38,15,68,53,61,53.0,16,16,12,9,9,8,12,11,,66+2,66+2,66+2,64,65,65,65,64,61+2,61+2,61+2,61+2,51+2,51+2,51+2,61+2,43+2,37+2,37+2,37+2,43+2,41+2,35+2,35+2,35+2,41+2,16+2,56.490671,-4.202646,FWD
245865,/player/245865/stefan-bajic/240002,24.0,2.0,2023-09-22,S. Bajic,Stefan Bajić,GK,65,76,1400000.0,4000.0,21,2001-12-23,191,84,1919.0,Bristol City,14.0,Championship,2.0,SUB,23.0,,2022-07-05,2025.0,18,France,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,2900000.0,,,,,,,,,9,5,12,24,8,7,12,11,24,18,28,20,35,60,42,49,41,29,41,9,21,10,5,43,11,25.0,5,12,9,66,65,65,64,65,25.0,21+2,21+2,21+2,19,21,21,21,19,23+2,23+2,23+2,21+2,24+2,24+2,24+2,21+2,19+2,22+2,22+2,22+2,19+2,18+2,18+2,18+2,18+2,18+2,64+2,48.864716,2.349014,GK
258931,/player/258931/haydon-roberts/240002,24.0,2.0,2023-09-22,H. Roberts,Haydon Roberts,"LB, CB",65,73,1500000.0,6000.0,21,2002-05-10,175,68,1919.0,Bristol City,14.0,Championship,2.0,SUB,24.0,,2023-07-01,2026.0,14,England,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,3200000.0,,,72.0,47.0,60.0,66.0,62.0,67.0,60,42,56,62,48,66,54,49,60,64,74,71,70,58,72,52,72,68,70,48,56,62,55,59,51,63.0,63,62,61,14,14,12,13,12,,57+2,57+2,57+2,61,59,59,59,61,60+2,60+2,60+2,62+2,61+2,61+2,61+2,62+2,63+2,62+2,62+2,62+2,63+2,63+2,62+2,62+2,62+2,63+2,18+2,51.509865,-0.118092,DEF
259926,/player/259926/sam-bell/240002,24.0,2.0,2023-09-22,S. Bell,Samuel John Bell,"ST, LW, LM",63,73,1100000.0,6000.0,21,2002-05-23,178,68,1919.0,Bristol City,14.0,Championship,2.0,LW,20.0,,2020-07-01,2025.0,14,England,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,2300000.0,,,76.0,60.0,47.0,65.0,23.0,60.0,48,66,58,54,44,64,38,30,30,64,80,72,68,63,75,59,71,63,59,51,54,12,65,53,63,59.0,20,22,17,10,15,12,15,7,,63+2,63+2,63+2,62,63,63,63,62,60+2,60+2,60+2,61+2,51+2,51+2,51+2,61+2,44+2,39+2,39+2,39+2,44+2,42+2,37+2,37+2,37+2,42+2,17+2,51.509865,-0.118092,FWD
