player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,latitude,longitude,general_position
220807,/player/220807/max-oleary/240002,24.0,2.0,2023-09-22,M. O'Leary,Max O’Leary,GK,69,73,1500000.0,12000.0,26,1996-10-10,185,78,1919.0,Bristol City,14.0,Championship,2.0,GK,1.0,,2013-07-01,2026.0,25,Republic of Ireland,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,3000000.0,,,,,,,,,16,10,11,30,14,13,11,12,21,21,38,48,30,51,48,51,54,43,54,14,26,19,12,49,29,42.0,10,17,16,73,67,68,68,73,42.0,25+2,25+2,25+2,25,26,26,26,25,27+2,27+2,27+2,27+2,28+2,28+2,28+2,27+2,26+2,26+2,26+2,26+2,26+2,25+2,24+2,24+2,24+2,25+2,68+2,0.0,0.0,GK
223159,/player/223159/rob-dickie/240002,24.0,2.0,2023-09-22,R. Dickie,Robert Dickie,CB,72,75,2700000.0,22000.0,27,1996-03-03,195,74,1919.0,Bristol City,14.0,Championship,2.0,LCB,16.0,,2023-06-14,2026.0,14,England,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,5300000.0,,"Power Header, Long Ball Pass",55.0,44.0,52.0,58.0,72.0,78.0,51,32,68,67,26,55,27,35,60,64,54,55,48,69,50,65,83,75,82,58,68,70,29,31,49,63.0,72,73,73,12,7,11,7,7,,53+2,53+2,53+2,52,52,52,52,52,52+2,52+2,52+2,54+2,58+2,58+2,58+2,54+2,66+2,68+2,68+2,68+2,66+2,67+2,72+2,72+2,72+2,67+2,15+2,51.509865,-0.118092,DEF
241824,/player/241824/rob-atkinson/240002,24.0,2.0,2023-09-22,R. Atkinson,Robert Atkinson,CB,71,76,2600000.0,17000.0,24,1998-07-13,193,85,1919.0,Bristol City,14.0,Championship,2.0,SUB,5.0,,2021-07-03,2026.0,14,England,,,,Left,3,2,1,Medium/Medium,Stocky (185+),No,5100000.0,,"Power Header, Aerial",55.0,25.0,48.0,56.0,71.0,80.0,28,21,73,63,28,60,37,19,58,57,52,58,37,65,40,29,80,78,85,25,71,71,33,46,30,64.0,71,72,70,13,11,8,6,13,,47+2,47+2,47+2,47,48,48,48,47,50+2,50+2,50+2,52+2,57+2,57+2,57+2,52+2,62+2,67+2,67+2,67+2,62+2,64+2,71+2,71+2,71+2,64+2,17+2,51.509865,-0.118092,DEF
205054,/player/205054/kal-naismith/240002,24.0,2.0,2023-09-22,K. Naismith,Kal Naismith,"CB, CDM",71,71,1300000.0,20000.0,31,1992-02-18,185,78,1919.0,Bristol City,14.0,Championship,2.0,SUB,4.0,,2022-07-01,2025.0,42,Scotland,,,,Left,3,3,1,High/Medium,Normal (185+),No,2500000.0,,"Long Ball Pass, Anticipate",68.0,65.0,66.0,67.0,70.0,77.0,68,63,70,65,45,67,70,74,62,64,69,67,74,69,74,73,79,79,78,71,73,70,52,64,59,65.0,70,71,69,9,12,6,10,7,,65+2,65+2,65+2,65,65,65,65,65,65+2,65+2,65+2,65+2,66+2,66+2,66+2,65+2,69+2,69+2,69+2,69+2,69+2,69+2,71,71,71,69+2,16+2,56.490671,-4.202646,DEF
194017,/player/194017/andreas-weimann/240002,24.0,2.0,2023-09-22,A. Weimann,Andreas Weimann,"CAM, CM, ST",71,71,1600000.0,22000.0,31,1991-08-05,178,76,1919.0,Bristol City,14.0,Championship,2.0,SUB,14.0,,2018-07-03,2024.0,4,Austria,,,,Right,3,3,1,High/Medium,Normal (170-185),Yes,3000000.0,,Rapid,81.0,72.0,65.0,71.0,45.0,73.0,63,74,69,67,69,71,68,64,55,71,83,80,77,73,68,74,79,87,65,68,74,52,76,70,67,65.0,40,41,34,11,9,16,12,6,,73-2,73-2,73-2,72-1,73-2,73-2,73-2,72-1,71,71,71,72-1,67+2,67+2,67+2,72-1,62+2,59+2,59+2,59+2,62+2,59+2,55+2,55+2,55+2,59+2,17+2,47.516231,14.550072,MID
252376,/player/252376/jason-knight/240002,24.0,2.0,2023-09-22,J. Knight,Jason Paul Knight,"CM, CAM, RB",70,75,2400000.0,16000.0,22,2001-02-13,179,72,1919.0,Bristol City,14.0,Championship,2.0,RCM,12.0,,2023-07-11,2027.0,25,Republic of Ireland,1355.0,LCM,17.0,Right,3,2,1,Medium/Medium,Lean (170-185),No,4700000.0,,Relentless,70.0,63.0,67.0,71.0,64.0,71.0,68,63,63,70,48,70,61,46,67,70,70,70,76,69,78,68,70,90,63,65,65,69,65,68,56,64.0,60,66,64,9,12,9,9,13,,66+2,66+2,66+2,68,68,68,68,68,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,70+2,68+2,68+2,68+2,70+2,69+2,65+2,65+2,65+2,69+2,17+2,0.0,0.0,MID
224265,/player/224265/joe-williams/240002,24.0,2.0,2023-09-22,J. Williams,Joe Williams,"CDM, CM",70,73,1900000.0,17000.0,26,1996-12-08,185,80,1919.0,Bristol City,14.0,Championship,2.0,LCM,8.0,,2020-08-20,2024.0,14,England,,,,Right,2,3,1,Medium/High,Normal (185+),Yes,3800000.0,,"Long Ball Pass, Slide Tackle",59.0,57.0,67.0,68.0,68.0,67.0,60,53,54,72,62,69,58,54,72,68,62,56,63,65,67,63,62,64,62,59,84,66,50,65,59,63.0,68,72,71,14,9,10,10,9,,60+2,60+2,60+2,63,62,62,62,63,64+2,64+2,64+2,64+2,67+2,67+2,67+2,64+2,66+2,69+2,69+2,69+2,66+2,66+2,67+2,67+2,67+2,66+2,16+2,51.509865,-0.118092,MID
186139,/player/186139/matty-james/240002,24.0,2.0,2023-09-22,M. James,Matty James,"CDM, CM",69,69,975000.0,15000.0,31,1991-07-22,181,86,1919.0,Bristol City,14.0,Championship,2.0,CDM,6.0,,2021-07-01,2024.0,14,England,,,,Right,3,3,1,Medium/Medium,Stocky (170-185),Yes,1900000.0,,Long Ball Pass,52.0,62.0,72.0,66.0,66.0,69.0,72,59,63,74,49,65,73,67,71,70,54,50,58,66,64,69,67,67,70,63,68,65,64,71,58,71.0,70,65,63,7,10,15,8,14,,64+2,64+2,64+2,65,65,65,65,65,67+2,67+2,67+2,66+2,69,69,69,66+2,66+2,68+1,68+1,68+1,66+2,65+2,66+2,66+2,66+2,65+2,16+2,51.509865,-0.118092,MID
202686,/player/202686/nahki-wells/240002,24.0,2.0,2023-09-22,N. Wells,Nahki Wells,"ST, LW",69,69,900000.0,17000.0,33,1990-06-01,170,69,1919.0,Bristol City,14.0,Championship,2.0,ST,21.0,,2020-01-30,2025.0,68,Bermuda,,,,Right,3,3,1,High/Medium,Lean (170-),Yes,1700000.0,,,77.0,68.0,64.0,69.0,44.0,62.0,60,69,68,66,68,67,67,67,53,68,76,77,77,70,77,69,72,69,55,65,68,49,70,69,68,68.0,35,43,35,10,6,13,11,7,,69,69,69,69,69,69,69,69,68+1,68+1,68+1,68+1,64+2,64+2,64+2,68+1,58+2,56+2,56+2,56+2,58+2,56+2,52+2,52+2,52+2,56+2,15+2,0.0,0.0,FWD
216155,/player/216155/harry-cornick/240002,24.0,2.0,2023-09-22,H. Cornick,Harry Cornick,"ST, RW, RM",69,69,1400000.0,18000.0,28,1995-04-09,180,84,1919.0,Bristol City,14.0,Championship,2.0,RW,9.0,,2023-01-31,2026.0,14,England,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,2700000.0,,"Rapid, Long Throw",85.0,67.0,59.0,70.0,37.0,62.0,62,69,64,64,58,71,42,48,45,70,84,86,70,68,68,69,79,70,68,65,33,40,67,63,58,61.0,35,31,24,10,6,6,9,12,,69,69,69,70-1,69,69,69,70-1,68+1,68+1,68+1,68+1,61+2,61+2,61+2,68+1,56+2,50+2,50+2,50+2,56+2,53+2,47+2,47+2,47+2,53+2,16+2,51.509865,-0.118092,FWD
